"animal_id","timestamp","longitude","latitude","fix"
"TTP-058","2019-01-24 23:02:05-05",-80.2791805555556,26.0721416666667,"3D"
"TTP-058","2019-01-25 00:02:06-05",-80.279025,26.0756833333333,"3D"
"TTP-058","2019-01-25 02:02:06-05",-80.2785861111111,26.0704111111111,"3D"
"TTP-058","2019-01-25 03:02:04-05",-80.27855,26.0704305555556,"3D"
"TTP-058","2019-01-25 14:02:26-05",-80.2799194444444,26.0699305555556,"3D"
"TTP-058","2019-01-25 15:02:10-05",-80.2793972222222,26.0720222222222,"3D"
"TTP-058","2019-01-25 16:02:09-05",-80.2780194444444,26.0743861111111,"3D"
"TTP-058","2019-01-25 17:02:06-05",-80.2785694444444,26.0713527777778,"3D"
"TTP-058","2019-01-25 19:02:30-05",-80.2789805555555,26.0717972222222,"3D"
"TTP-058","2019-01-25 20:02:04-05",-80.2798138888889,26.0680944444444,"3D"
"TTP-058","2019-01-25 21:02:07-05",-80.2790527777778,26.0687833333333,"3D"
"TTP-058","2019-01-25 22:02:30-05",-80.2787888888889,26.0709055555556,"3D"
"TTP-058","2019-01-26 14:02:30-05",-80.2793555555556,26.0723583333333,"3D"
"TTP-058","2019-01-26 15:02:07-05",-80.2780555555556,26.0742888888889,"3D"
"TTP-058","2019-01-26 16:02:09-05",-80.2779083333333,26.0742111111111,"3D"
"TTP-058","2019-01-26 17:02:08-05",-80.2779027777778,26.0742055555556,"3D"
"TTP-058","2019-01-26 20:02:30-05",-80.2791527777778,26.0736138888889,"3D"
"TTP-058","2019-01-26 21:02:02-05",-80.2797305555556,26.072675,"3D"
"TTP-058","2019-01-26 22:02:02-05",-80.2794916666667,26.0724833333333,"3D"
"TTP-058","2019-01-26 23:02:06-05",-80.2787444444444,26.0715666666667,"3D"
"TTP-058","2019-01-27 21:02:30-05",-80.2793777777778,26.0722,"3D"
"TTP-058","2019-01-27 22:02:06-05",-80.2796055555556,26.0725638888889,"3D"
"TTP-058","2019-01-27 23:02:09-05",-80.2780027777778,26.0742888888889,"3D"
"TTP-058","2019-01-28 00:02:09-05",-80.2786777777778,26.0714166666667,"3D"
"TTP-058","2019-01-28 13:02:07-05",-80.2787944444444,26.0707861111111,"3D"
"TTP-058","2019-01-28 14:02:02-05",-80.27795,26.0743777777778,"3D"
"TTP-058","2019-01-28 15:02:02-05",-80.2779638888889,26.0743805555556,"3D"
"TTP-058","2019-01-28 16:02:19-05",-80.2783555555555,26.0750444444444,"3D"
"TTP-058","2019-01-28 18:02:30-05",-80.2782222222222,26.0749888888889,"3D"
"TTP-058","2019-01-28 19:02:24-05",-80.2783111111111,26.0749861111111,"3D"
"TTP-058","2019-01-28 20:02:16-05",-80.2776333333333,26.0737527777778,"3D"
"TTP-058","2019-01-29 00:02:30-05",-80.2786694444444,26.0717944444444,"3D"
"TTP-058","2019-01-29 01:02:06-05",-80.2786944444444,26.0717305555556,"3D"
"TTP-058","2019-01-29 02:02:09-05",-80.2784444444444,26.0708138888889,"3D"
"TTP-058","2019-01-29 12:02:30-05",-80.2785055555556,26.0705027777778,"3D"
"TTP-058","2019-01-29 13:02:14-05",-80.2785055555556,26.0705027777778,"3D"
"TTP-058","2019-01-29 14:02:09-05",-80.2785277777778,26.0707333333333,"3D"
"TTP-058","2019-01-29 15:02:15-05",-80.2780611111111,26.0743638888889,"3D"
"TTP-058","2019-01-29 16:02:30-05",-80.2791472222222,26.0728888888889,"3D"
"TTP-058","2019-01-29 17:02:03-05",-80.2790166666667,26.0727944444444,"3D"
"TTP-058","2019-01-29 18:02:03-05",-80.2790361111111,26.0729583333333,"3D"
"TTP-058","2019-01-29 19:02:05-05",-80.2789611111111,26.0728861111111,"3D"
"TTP-058","2019-01-29 20:02:03-05",-80.2781694444444,26.07435,"3D"
"TTP-058","2019-01-29 21:02:04-05",-80.2785416666667,26.0718111111111,"3D"
"TTP-058","2019-01-29 22:02:04-05",-80.2783527777778,26.0719388888889,"3D"
"TTP-058","2019-01-29 23:02:07-05",-80.2787611111111,26.0716638888889,"3D"
"TTP-058","2019-01-30 00:02:20-05",-80.2783194444444,26.0694305555556,"3D"
"TTP-058","2019-01-30 12:02:30-05",-80.2785916666667,26.0702972222222,"3D"
"TTP-058","2019-01-30 13:02:16-05",-80.2785888888889,26.0704888888889,"3D"
"TTP-058","2019-01-30 14:02:14-05",-80.2783638888889,26.0703194444444,"3D"
"TTP-058","2019-01-30 17:02:30-05",-80.2796305555556,26.0712361111111,"3D"
"TTP-058","2019-01-30 19:02:30-05",-80.2793055555556,26.0727305555556,"3D"
"TTP-058","2019-01-30 20:02:04-05",-80.2784805555556,26.0714055555556,"3D"
"TTP-058","2019-01-30 21:02:08-05",-80.2797611111111,26.0706527777778,"3D"
"TTP-058","2019-01-30 22:02:02-05",-80.2789138888889,26.0716027777778,"3D"
"TTP-058","2019-01-30 23:02:06-05",-80.2788111111111,26.0713888888889,"3D"
"TTP-058","2019-01-31 00:02:30-05",-80.278625,26.0707305555556,"3D"
"TTP-058","2019-01-31 01:02:09-05",-80.2786194444444,26.0703611111111,"3D"
"TTP-058","2019-01-31 02:02:09-05",-80.2786861111111,26.0703666666667,"3D"
"TTP-058","2019-01-31 03:02:08-05",-80.2785388888889,26.0703555555556,"3D"
"TTP-058","2019-01-31 16:02:30-05",-80.2799833333333,26.0703027777778,"3D"
"TTP-058","2019-01-31 17:02:05-05",-80.2799222222222,26.0703138888889,"3D"
"TTP-058","2019-01-31 20:02:30-05",-80.2783055555556,26.0719333333333,"3D"
"TTP-058","2019-01-31 21:02:04-05",-80.2785166666667,26.0717888888889,"3D"
"TTP-058","2019-01-31 22:02:07-05",-80.27995,26.0703305555556,"3D"
"TTP-058","2019-01-31 23:02:11-05",-80.2799916666667,26.0703194444444,"3D"
"TTP-058","2019-02-01 00:02:05-05",-80.2787388888889,26.0714833333333,"3D"
"TTP-058","2019-02-01 01:02:09-05",-80.2785972222222,26.0714611111111,"3D"
"TTP-058","2019-02-01 03:02:30-05",-80.2782611111111,26.0700194444444,"3D"
"TTP-058","2019-02-01 15:02:30-05",-80.2766472222222,26.0713555555556,"3D"
"TTP-058","2019-02-01 16:02:11-05",-80.2765555555556,26.0704916666667,"3D"
"TTP-058","2019-02-01 17:02:02-05",-80.2766027777778,26.0705444444444,"3D"
"TTP-058","2019-02-01 18:02:30-05",-80.2779972222222,26.0736138888889,"3D"
"TTP-058","2019-02-01 19:02:09-05",-80.27905,26.0698722222222,"3D"
"TTP-058","2019-02-01 21:02:30-05",-80.2789694444444,26.0700388888889,"3D"
"TTP-058","2019-02-02 13:02:30-05",-80.2783722222222,26.069925,"3D"
"TTP-058","2019-02-02 14:02:18-05",-80.2768694444444,26.0708194444444,"3D"
"TTP-058","2019-02-02 17:02:06-05",-80.2780388888889,26.0743638888889,"3D"
"TTP-058","2019-02-02 18:02:04-05",-80.2784277777778,26.0739527777778,"3D"
"TTP-058","2019-02-02 19:02:08-05",-80.2780222222222,26.0743944444444,"3D"
"TTP-058","2019-02-02 22:02:30-05",-80.2793111111111,26.0726666666667,"3D"
"TTP-058","2019-02-02 23:02:03-05",-80.2793333333333,26.0723277777778,"3D"
"TTP-058","2019-02-03 00:02:02-05",-80.2788,26.0715611111111,"3D"
"TTP-058","2019-02-03 01:02:08-05",-80.2784305555556,26.0700027777778,"3D"
"TTP-058","2019-02-03 02:02:11-05",-80.2784388888889,26.0699722222222,"3D"
"TTP-058","2019-02-03 03:02:30-05",-80.2783861111111,26.0699444444444,"3D"
"TTP-058","2019-02-03 15:02:30-05",-80.2787388888889,26.0705722222222,"3D"
"TTP-058","2019-02-03 16:02:06-05",-80.278125,26.0703833333333,"3D"
"TTP-058","2019-02-04 00:02:30-05",-80.2785694444444,26.0711694444444,"3D"
"TTP-058","2019-02-04 01:02:07-05",-80.2775833333333,26.0696694444444,"3D"
"TTP-058","2019-02-04 02:02:23-05",-80.2785833333333,26.0703361111111,"3D"
"TTP-058","2019-02-04 13:02:30-05",-80.2786194444444,26.0703472222222,"3D"
